keywords,response
hello|hi|hey|howdy|good morning|good evening|good afternoon,"Hello! 👋 Welcome to VJTI CounselBot — your personal AI career counselor. I can help you explore career options, understand different streams (Science/Commerce/Arts), compare salaries, find entrance exams, and even run a personalised personality test. Just ask me anything! For a personalised career recommendation, type 'start my test'."
your name|who are you|introduce yourself|what are you,"I'm VJTI's CounselBot 🎓 — an intelligent career counseling assistant built specifically for students at every stage — Grade 10, Grade 12, and Undergraduate. I use a personality assessment + expert knowledge to guide you toward the career that best matches your interests and strengths. Ask me about any field — engineering, medicine, law, arts, business — I cover them all!"
bye|goodbye|see you|take care|talk later,"Goodbye! 🌟 Best of luck on your career journey. Remember — the right career is not just about money, it's about finding work that excites you every single day. Come back anytime you need guidance. You've got this! 👋"
thank|thanks|thx|appreciate|helpful,"You're most welcome! 😊 Helping students find the right career path is exactly what I'm here for. Feel free to ask more questions anytime — about streams, entrance exams, salaries, or specific careers. If you haven't already, try the personality test for a personalised recommendation!"
start my test|take test|begin test|personality test|start test,"Great choice! 🎯 Scroll down to start your personalised personality assessment. The test has 10 simple questions — just rate how strongly you agree or disagree with each statement. Based on your answers, I'll recommend the TOP 3 fields that best match YOUR interests. The more honestly you answer, the more accurate your results will be!"
engineering|btech|b.tech|jee|iit|nit,"Engineering is one of India's most popular and high-paying career paths! 🔧\n\n🎓 **Degree:** B.Tech / B.E (4 years)\n\n📚 **Top Branches:**\n• Computer Science & IT — highest demand, ₹5–50+ LPA\n• Mechanical — manufacturing, automotive, aerospace\n• Civil — construction, infrastructure, urban planning\n• Electrical/Electronics — power, IoT, embedded systems\n• Chemical — pharma, petrochemicals, food tech\n\n📝 **Key Entrance Exams:**\n• JEE Main → NITs, IIITs, GFTIs (1.2 million aspirants)\n• JEE Advanced → IITs (top 2.5 lakh from JEE Main)\n• MHT-CET → Maharashtra colleges including VJTI\n• BITSAT → BITS Pilani\n\n💰 **Salary Range:** ₹3–50+ LPA depending on branch and company\n\n🏆 **Top Recruiters:** Google, Microsoft, TCS, Infosys, L&T, ISRO, DRDO\n\nWant to know about a specific branch? Ask me!"
computer science|software|coding|programming|information technology|it field,"Computer Science is the #1 career field of the 21st century! 💻\n\n🎯 **Career Roles:**\n• Software Engineer / Developer — ₹5–40 LPA\n• Full-Stack Web Developer — ₹4–25 LPA\n• Data Scientist / ML Engineer — ₹8–35 LPA\n• DevOps / Cloud Engineer — ₹8–30 LPA\n• Cybersecurity Analyst — ₹6–30 LPA\n• Mobile App Developer — ₹5–25 LPA\n\n🛠️ **Must-Learn Skills:**\n• Languages: Python, Java, JavaScript, C++\n• Frameworks: React, Node.js, Spring Boot, Django\n• Cloud: AWS, Azure, Google Cloud\n• Database: SQL, MongoDB, PostgreSQL\n\n🎓 **Degrees:** B.Tech CS/IT, BCA, B.Sc CS\n\n💰 **Top Salaries:** Google ₹1–3 Cr, Microsoft ₹50–90 LPA, TCS/Infosys ₹3–7 LPA (freshers)\n\n📈 **Growth:** 25% year-on-year — fastest growing field in India and globally."
data science|machine learning|artificial intelligence|ai|ml|deep learning|data analyst,"Data Science and AI/ML are the hottest fields of the decade! 🤖\n\n🎯 **Career Roles:**\n• Data Scientist — ₹8–30 LPA\n• ML Engineer — ₹10–40 LPA\n• AI Research Scientist — ₹15–60 LPA\n• Business Intelligence Analyst — ₹6–20 LPA\n• NLP Engineer — ₹12–35 LPA\n\n🛠️ **Skills to Learn:**\n• Python (NumPy, Pandas, Scikit-learn, TensorFlow, PyTorch)\n• Statistics and Probability\n• SQL and Database Management\n• Data Visualisation (Tableau, Power BI, Matplotlib)\n\n📚 **Free Resources:**\n• Kaggle (free datasets + competitions)\n• Coursera (Andrew Ng's ML course)\n• NPTEL (IIT courses — free)\n• Google AI Education\n\n📈 **India Outlook:** 11 million data science jobs projected in India by 2026. Every industry — banking, healthcare, retail, government — now needs data professionals."
doctor|medicine|mbbs|medical|healthcare|neet|hospital|surgeon,"Medicine is one of India's most respected and rewarding careers! 🏥\n\n🎓 **Main Degrees:**\n• MBBS (5.5 years) — gateway to becoming a doctor\n• BDS — Dentist\n• B.Pharm — Pharmacist\n• BAMS — Ayurvedic Medicine\n• BHMS — Homeopathy\n• B.Sc Nursing, Physiotherapy, Radiology\n\n📝 **Entrance Exam:**\n• NEET-UG — only exam for all medical colleges in India\n• Top colleges: AIIMS Delhi, JIPMER, MAMC, Grant Medical College Mumbai\n\n🏆 **Specialisations after MBBS (MD/MS):**\nCardiology, Neurology, Orthopaedics, Paediatrics, Radiology, Psychiatry\n\n💰 **Salary:**\n• MBBS fresher government: ₹60,000–80,000/month\n• Specialist doctor: ₹2–15 LPA\n• Senior Surgeon / Consultant: ₹20–80 LPA\n\n📈 India's healthcare sector will reach $638 billion by 2025 — massive demand for doctors!"
law|lawyer|advocate|legal|clat|llb|court,"Law is a prestigious, intellectually stimulating and well-paying career! ⚖️\n\n🎓 **Degrees:**\n• BA LLB (5 years after 12th) — integrated law degree\n• LLB (3 years after graduation)\n• LLM — specialised postgraduate law degree\n\n📝 **Entrance Exams:**\n• CLAT — for National Law Universities (NLUs)\n• AILET — for NLU Delhi\n• LSAT India — for private law schools\n\n🏛️ **Career Paths:**\n• Corporate Lawyer — mergers, contracts, IP — ₹8–50+ LPA\n• Criminal Lawyer — courts and criminal defence — ₹3–15 LPA\n• Civil Litigation — civil disputes — ₹3–12 LPA\n• Judge — via judicial services exam\n• Legal Advisor at companies and banks\n• International Law / Human Rights Law\n\n💰 **Salary:** Entry ₹3–6 LPA, Senior Partners at top firms ₹50–2 Cr+\n\n🏆 **Top Law Schools:** NLSIU Bangalore, NLU Delhi, NALSAR Hyderabad, Symbiosis Pune"
commerce|ca|chartered accountant|finance|accounting|bcom|banking|mba finance,"Commerce offers some of India's most stable and high-paying careers! 📊\n\n🎓 **Degrees:**\n• B.Com (3 years) — foundation for CA, MBA, banking\n• BBA (3 years) — business administration\n• CA (Chartered Accountancy) — most respected finance qualification\n• CFA (Chartered Financial Analyst) — for investment banking\n• MBA Finance — from IIMs, XLRI, MDI\n\n📝 **CA Exam Stages:**\nFoundation → Intermediate → Final (3–5 years)\n\n💰 **Salaries:**\n• Fresher CA: ₹7–15 LPA\n• Investment Banker: ₹12–50 LPA\n• CFO at large company: ₹30–1 Cr+\n• Bank PO: ₹5–8 LPA\n• MBA Finance (IIM): ₹15–50 LPA\n\n🏆 **Top Recruiters:** Deloitte, EY, KPMG, PwC, Goldman Sachs, JP Morgan, SBI, HDFC, Kotak\n\n📈 India's finance sector grows 12–15% annually as the economy expands."
arts|humanities|history|geography|political science|sociology|literature,"Arts and Humanities offer surprisingly diverse and impactful careers! 🎭\n\n🎓 **Degrees:**\n• BA (History, Political Science, Sociology, English, Psychology)\n• BA LLB — Law\n• BMM — Mass Media and Journalism\n• BFA — Fine Arts\n\n🏆 **Career Paths:**\n• Civil Services (IAS/IPS/IFS) — most prestigious government career\n• Journalism and Media — TV, digital, print\n• Law — CLAT entrance\n• Psychology — clinical, HR, UX\n• Social Work — NGOs, government schemes\n• Teaching — B.Ed → school teacher\n• Diplomat / Foreign Service — IFS through UPSC\n• Human Resources (HR) Manager\n• Museum Curator / Historian\n\n💰 **IAS Officer starting salary:** ₹56,100/month + allowances + house + car\n\n📈 Don't underestimate Arts — 30%+ of IAS officers have Humanities backgrounds!"
psychology|psychologist|counseling|mental health|counselor,"Psychology is a rapidly growing, deeply rewarding career! 🧠\n\n🎓 **Degrees:**\n• BA/BSc Psychology (3 years)\n• MA/MSc Psychology (2 years)\n• PhD Psychology — for research and academic roles\n\n🏆 **Career Paths:**\n• Clinical Psychologist — therapy and mental health treatment — ₹5–15 LPA\n• Counselling Psychologist — schools, hospitals, private practice\n• Organisational Psychologist — HR, talent management — ₹6–20 LPA\n• School Counsellor — student wellbeing\n• UX Researcher — tech companies pay ₹8–25 LPA\n• Sports Psychologist — athletes and coaches\n• Neuropsychologist — brain-behaviour research\n\n📈 India has 150 million people needing mental healthcare but fewer than 10,000 trained psychologists — massive demand! Mental health awareness is growing fast post-COVID."
upsc|ias|ips|civil service|government job|sarkari|mpsc|psc,"Civil Services is the most prestigious career path in India! 🏛️\n\n📝 **UPSC Civil Services Exam (CSE) Stages:**\n1. Preliminary (Objective) — GS Paper + CSAT\n2. Mains (Descriptive) — 9 papers + Essay\n3. Personality Test (Interview)\n\n🏆 **Services:**\n• IAS (Indian Administrative Service) — District Collector, Secretary\n• IPS (Indian Police Service) — SP, DCP, DGP\n• IFS (Indian Foreign Service) — Ambassadors, Diplomats\n• IRS — Revenue, Customs, Income Tax\n\n💰 **Salary:** IAS Officer ₹56,100–2,50,000/month + House + Car + Staff + Pension\n\n📚 **Preparation Strategy:**\n• Start with NCERTs (Class 6–12)\n• Read The Hindu / Indian Express daily\n• Study Laxmikant for Polity, Spectrum for Modern History\n• Practice previous year papers\n• Join a good test series\n\n⏱️ Average preparation time: 1–3 years. Most toppers are 22–26 years old."
salary|income|earn|pay|lpa|wage|how much money,"Career Salaries in India — 2024 Guide! 💰\n\n🏆 **Highest Paying Fields:**\n• Data Science / AI / ML: ₹8–40 LPA\n• Investment Banking: ₹12–60 LPA\n• Medicine (Specialist): ₹15–80 LPA\n• Software Engineering (FAANG): ₹40–1.5 Cr\n• Chartered Accountancy: ₹7–50 LPA\n• Management Consulting (McKinsey/BCG): ₹20–80 LPA\n\n📊 **Mid-Range Fields:**\n• General Engineering: ₹3–20 LPA\n• Law: ₹4–25 LPA\n• Marketing / MBA: ₹5–25 LPA\n• Teaching (Govt): ₹3–7 LPA\n\n📈 **What Drives Salary:**\n• College brand (IIT/IIM vs others — 5x difference!)\n• Skills (Python, Cloud, Finance certifications)\n• City (Mumbai/Bengaluru vs Tier 2 — 30–50% higher)\n• Experience (5 years doubles most salaries)\n\n💡 Tip: Skills and certifications matter more than just your degree in today's market!"
after 10th|after 10|tenth|10th standard|ssc|what after 10,"After 10th Standard — Your Complete Guide! 🎯\n\n🔬 **Science Stream:**\n• PCM (Physics, Chemistry, Maths) → Engineering (JEE), Architecture (NATA), Data Science\n• PCB (Physics, Chemistry, Biology) → Medicine (NEET), Pharmacy, Nursing, Biotech\n• PCMB → Keeps ALL science options open!\n\n📊 **Commerce Stream:**\n→ CA, Investment Banking, MBA, Economics, BBA, Banking\n→ Best if you enjoy numbers, business, and money management\n\n🎭 **Arts / Humanities:**\n→ Civil Services (IAS/IPS), Law (CLAT), Journalism, Psychology, Design\n→ Don't underestimate — leads to some of India's top jobs!\n\n💡 **How to Choose?**\n• Love maths + tech → PCM\n• Love biology + helping people → PCB\n• Love business + money → Commerce\n• Love reading + society + current affairs → Arts\n\n🎯 Type 'start my test' for a personalised recommendation based on your interests!"
after 12th|after 12|after twelfth|career after school,"After 12th — Your Complete Career Roadmap! 🎓\n\n🔬 **If you took PCM (Science):**\n• Engineering → JEE Main/Advanced (B.Tech 4 years)\n• Architecture → NATA / JEE Paper 2 (B.Arch 5 years)\n• Data Science → B.Sc Data Science or B.Tech CS\n• Defence → NDA exam (Army/Navy/Air Force)\n\n🧬 **If you took PCB (Science):**\n• Medicine → NEET (MBBS 5.5 years)\n• Dentistry → NEET (BDS 5 years)\n• Pharmacy → B.Pharm (4 years)\n• Biotech / Nursing → B.Sc programmes\n\n📊 **If you took Commerce:**\n• CA → ICAI Foundation exam\n• B.Com → 3 years, then MBA or CA\n• BBA → 3 years, then MBA (CAT)\n• Economics Honours → Delhi University, Symbiosis\n\n🎭 **If you took Arts:**\n• Law → CLAT (BA LLB 5 years)\n• Journalism → BMM, MJMC\n• Psychology → BA Psychology\n• Mass Media, Hotel Management, Design\n\n⚡ Key tip: Research entrance exam dates NOW and start preparing 6–12 months in advance!"
scholarship|financial aid|education loan|funding|bursary,"Scholarships and Funding for Indian Students! 🎓\n\n🏛️ **Government Scholarships:**\n• NSP (scholarships.gov.in) — Post-Matric, Pre-Matric, Merit\n• AICTE scholarships for engineering students\n• PM Scholarship for armed forces wards\n• SC/ST/OBC scholarships — state and central\n\n🌍 **International Scholarships:**\n• Chevening (UK) — fully funded Masters\n• Fulbright (USA) — research and Masters\n• DAAD (Germany) — study in Germany, mostly free tuition\n• Commonwealth Scholarship — UK and Commonwealth\n• Australia Awards — Australian government\n\n🏢 **Private / Corporate Scholarships:**\n• Tata Trust Scholarship\n• Reliance Foundation Scholarship\n• Infosys Foundation\n• Wipro, Mahindra, HDFC scholarships\n\n🏦 **Education Loans:**\n• SBI Student Loan up to ₹20 lakhs (no collateral up to ₹7.5 L)\n• Vidya Lakshmi portal (vidyalakshmi.co.in) — one portal for all bank loans\n• Interest subsidy for economically weaker sections\n\n⏰ Apply 6–12 months in advance. Read eligibility carefully!"
internship|work experience|practical experience|job experience,"Internships — Why They're Non-Negotiable! 💼\n\n🎯 **Why Intern?**\n• Build real-world skills no classroom can teach\n• Explore careers before committing\n• Network with professionals\n• Many internships convert to full-time jobs\n• Strengthen your resume for placements\n\n📅 **When to Start?**\n• Engineering/BBA/B.Com: After 2nd year (summer break)\n• MBA: Mandatory summer internship between Year 1 and 2\n• Law: Moot courts + law firm internships from Year 2\n\n🔍 **Where to Find Internships:**\n• Internshala (internshala.com) — India's #1 platform\n• LinkedIn — connect directly with professionals\n• LetsIntern, HelloIntern, Twenty19\n• Company websites — TCS, Infosys, Wipro careers pages\n• IIT/NIT job portals (if you are enrolled)\n\n💡 **Tips:**\n• Apply 2–3 months before the internship period\n• Personalise your cover letter for every application\n• Follow up politely if you don't hear back in 2 weeks\n• Even unpaid internships at good companies have great value!"
skill|what to learn|skills needed|how to improve|upskill,"Skills That Will Shape Your Career! 🛠️\n\n💻 **Technical Skills (by field):**\n• Tech: Python, JavaScript, SQL, Cloud (AWS/Azure), Git\n• Finance: Excel, Tally, Financial Modelling, Bloomberg\n• Marketing: SEO, Google Analytics, Canva, Meta Ads\n• Design: Figma, Adobe XD, Illustrator, Photoshop\n• Data: Tableau, Power BI, Python, R\n\n🗣️ **Soft Skills (equally important!):**\n• Communication — spoken and written English\n• Critical thinking and problem solving\n• Teamwork and collaboration\n• Leadership and time management\n• Emotional intelligence\n\n📚 **Best Free/Low-Cost Learning Platforms:**\n• Coursera — certifications from IIT, Google, IBM, Stanford\n• edX — Harvard, MIT courses (audit for free)\n• NPTEL (nptel.ac.in) — free IIT/IISc courses with certification\n• YouTube — entire CS degree content available free\n• Kaggle — data science with real datasets\n• freeCodeCamp — web development completely free\n\n🏆 Tip: Build PROJECTS not just certificates. Employers want to see what you can do!"
design|ux|ui|graphic design|fashion design|interior design|product design,"Design is a booming creative + tech career! 🎨\n\n🎯 **Career Paths:**\n• UX/UI Designer — design apps and websites — ₹5–25 LPA\n• Graphic Designer — branding, posters, social media — ₹3–12 LPA\n• Product Designer — physical or digital products — ₹6–25 LPA\n• Fashion Designer — garments, textiles — ₹3–15 LPA\n• Interior Designer — spaces and architecture — ₹3–15 LPA\n• Animation / VFX Artist — films and games — ₹4–20 LPA\n• Industrial Designer — consumer products — ₹4–18 LPA\n\n🎓 **Degrees:**\n• B.Des — from NID (Ahmedabad), NIFT, MIT Institute of Design\n• B.Arch — for architecture\n• B.FA — Fine Arts\n• Diploma courses — 1–2 years at private design schools\n\n📝 **Entrance Exams:** NID DAT, NIFT Entrance, CEED (for M.Des at IITs)\n\n🛠️ **Tools:** Figma, Adobe XD, Photoshop, Illustrator, AutoCAD, SketchUp\n\n📈 India's design industry projected at $47 billion by 2030 — massive opportunity!"
management|mba|business|bba|entrepreneur|startup|marketing,"Management and MBA — Path to Leadership! 💼\n\n🎓 **Degrees:**\n• BBA (3 years after 12th) — foundation for MBA\n• MBA (2 years) — from IIM, XLRI, FMS, MDI, SP Jain\n• B.Com → MBA — very common route\n\n📝 **MBA Entrance Exams:**\n• CAT — for IIMs (India's toughest MBA exam)\n• XAT — for XLRI Jamshedpur\n• SNAP — for Symbiosis institutes\n• NMAT — for NMIMS\n• GMAT — for foreign MBA (Harvard, Wharton, ISB)\n\n🏆 **Specialisations:**\n• Marketing — brand management, digital marketing, sales\n• Finance — investment banking, corporate finance\n• Human Resources (HR) — talent management\n• Operations — supply chain, logistics\n• Strategy / Consulting — McKinsey, BCG, Bain\n\n💰 **Salaries:**\n• IIM-A/B/C MBA: ₹25–80 LPA average\n• Top MBA internationally (Harvard/Wharton): $150,000+\n• BBA fresher: ₹3–6 LPA\n\n🚀 Entrepreneurship: India has 90,000+ startups and 100+ unicorns — a great time to build!"
sports|athlete|cricket|football|fitness|physical education|coaching,"Sports is a serious and exciting career path! 🏅\n\n🎯 **Career Options:**\n• Professional Athlete — cricket, football, badminton, kabaddi\n• Sports Coach — BCCI, ISL, state academies\n• Sports Journalist / Commentator — TV, YouTube, print\n• Sports Physiotherapist — team medical staff — ₹4–15 LPA\n• Sports Scientist / Analyst — data and performance — ₹5–20 LPA\n• Sports Manager — manage athlete careers and events\n• Physical Education Teacher — schools and colleges — ₹3–6 LPA\n• Gym Owner / Fitness Trainer / Nutritionist\n\n🎓 **Degrees:**\n• B.P.Ed (Bachelor of Physical Education) — 4 years\n• B.Sc Sports Science — LNUPE, Gwalior\n• Sports Management MBA — from management colleges\n\n🏆 **India's Sports Boom:**\n• IPL franchise value: ₹5,000–15,000 Cr each\n• Pro Kabaddi, ISL, PKL paying crores to players\n• Khelo India scheme creating thousands of opportunities\n• Olympics 2036 bid by India — massive investment incoming!"
teaching|teacher|professor|b.ed|bed|education,"Teaching — A Career That Shapes Generations! 📚\n\n🎓 **How to Become a Teacher:**\n• School Teacher (Class 1–8): BEd (2 years after graduation) + CTET/TET\n• School Teacher (Class 9–12): BEd + subject specialisation + CTET Paper 2\n• College/University Professor: Master's degree + NET/SET exam (UGC)\n• Private School/Coaching: Strong subject knowledge + communication\n\n📝 **Key Exams:**\n• CTET (Central Teacher Eligibility Test) — national level\n• TET — state level (MAHA-TET, UP-TET, etc.)\n• UGC-NET — for Assistant Professor in colleges\n\n💰 **Salaries:**\n• Government School Teacher: ₹30,000–70,000/month + pension + DA\n• Government College Lecturer: ₹57,700–1,82,400/month (7th Pay Commission)\n• Private School Teacher (top schools): ₹25,000–60,000/month\n• Coaching Teacher (JEE/NEET): ₹5–30 LPA\n\n🌟 Teaching offers one of the best work-life balances — summer holidays, job security, respect in society, and the joy of changing lives!"
pcm|pcb|science stream|science after 10th|which science,"Science Stream — Complete Guide! 🔬\n\n**PCM (Physics, Chemistry, Mathematics):**\n✅ Choose PCM if you love: maths, problem solving, technology, building things\n🎯 Careers: Engineering (JEE), Architecture (NATA), Data Science, Defence (NDA), Pilot\n🎓 Degrees: B.Tech, B.Arch, B.Sc Maths, B.Sc Physics\n\n**PCB (Physics, Chemistry, Biology):**\n✅ Choose PCB if you love: biology, living things, helping people, healthcare\n🎯 Careers: Medicine (NEET), Pharmacy, Nursing, Biotech, Agriculture\n🎓 Degrees: MBBS, BDS, B.Pharm, B.Sc Biology, B.Sc Nursing\n\n**PCMB (All 4 subjects):**\n✅ If you are unsure — take PCMB! Keeps all options open.\n⚠️ Heavy workload but maximum flexibility.\n\n💡 **How to Decide:**\n• Love solving maths equations? → PCM\n• Love dissecting frogs and studying cells? → PCB\n• Can't decide? → PCMB (then choose by Class 12)\n\nType 'start my test' for a personalised stream recommendation! 🎯"
abroad|foreign|usa|uk|canada|australia|study abroad|ielts|gre|gmat,"Studying Abroad — Complete India Guide! 🌍\n\n🇺🇸 **USA:**\n• Exams: GRE (Masters/PhD), GMAT (MBA), TOEFL or IELTS\n• Top Universities: MIT, Stanford, Harvard, Carnegie Mellon\n• Average Cost: $30,000–70,000/year\n• Scholarships: Fulbright, university-specific grants\n\n🇬🇧 **UK:**\n• Exams: IELTS (6.5+), sometimes GMAT for MBA\n• Top Universities: Oxford, Cambridge, Imperial, UCL, LSE\n• Duration: 1-year Masters (shorter than USA)\n• Scholarship: Chevening (fully funded)\n\n🇨🇦 **Canada:**\n• Exams: IELTS or CELPIP, GMAT/GRE for specific programs\n• Top: University of Toronto, UBC, McGill, Waterloo\n• Benefits: PR pathway after graduation, 3-year work permit\n\n🇩🇪 **Germany:**\n• Tuition: Often FREE at public universities!\n• Exams: TestDaF (German) or IELTS for English programs\n• Top: TU Munich, Heidelberg, RWTH Aachen\n• Scholarship: DAAD (free tuition + stipend)\n\n💡 **Timeline:** Start 18 months before target intake. Apply to 8–10 universities!"
career|job|profession|what should i do|guide me|help me choose,"I'm here to guide you! 🎓 Let me help you find the perfect career path.\n\n🔍 **To give you the best advice, tell me more:**\n• Which class are you in? (10th / 12th / Graduate?)\n• Which subjects do you enjoy most?\n• Do you prefer working with people, data, or creative work?\n• Are you interested in science, arts, business, or technology?\n\n📋 **Quick Career Overview by Interest:**\n\n💻 Love tech/computers → Software Engineer, Data Scientist, Cybersecurity\n🏥 Love helping people → Doctor, Psychologist, Social Worker, Teacher\n📊 Love numbers/money → CA, Investment Banker, Actuary, MBA Finance\n🎨 Love creativity → UX Designer, Architect, Animator, Fashion Designer\n⚖️ Love arguing/justice → Lawyer, IPS Officer, Human Rights Activist\n🏛️ Love your country → IAS/IPS Officer (UPSC), Defence Forces\n\n🎯 For a PERSONALISED recommendation based on YOUR interests, type **'start my test'** — our personality test will suggest your top 3 best-fit careers!"
